id,symbol,name,image,market_cap_rank,usd,usd_24h_vol,usd_24h_change,type,timestamp,coingecko_url
spacen,sn,SpaceN,https://coin-images.coingecko.com/coins/images/27576/original/sn.png?1696526609,430,3.6843609743740293,611400.1647216474,1075.5880281540633,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/spacen
osol,osol,OSOL,https://coin-images.coingecko.com/coins/images/53195/original/osol_logo_200x.png?1735602170,370,0.17697883314821614,44756760.40349833,93.6109162845042,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/osol
ai-companions,aic,AI Companions,https://coin-images.coingecko.com/coins/images/40130/original/AI_Companions.png?1725942702,276,0.26732051648795746,10456526.081827639,55.709779707888394,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/ai-companions
elon4afd,elon4afd,Elon4AfD,https://coin-images.coingecko.com/coins/images/53992/original/ElonNewLogo200.jpeg?1737884581,532,0.09707309680652934,3235928.0935381097,55.34527097746923,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/elon4afd
redbelly-network-token,RBNT,Redbelly Network,https://coin-images.coingecko.com/coins/images/34372/original/RBNT.jpg?1704728914,813,0.046207756686591286,5734760.88991101,52.24382899186999,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/redbelly-network-token
safemoon-2,sfm,SafeMoon,https://coin-images.coingecko.com/coins/images/21863/original/photo_2021-12-22_14.43.36.jpeg?1696521217,902,6.946494154574442e-05,51074.95218458482,51.09467325525352,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/safemoon-2
xyo-network,xyo,XYO Network,https://coin-images.coingecko.com/coins/images/4519/original/XYO_Network-logo.png?1696505103,253,0.022791529612663154,92369788.89390998,43.150152492648594,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/xyo-network
memdex100,memdex,MEMDEX100,https://coin-images.coingecko.com/coins/images/53587/original/banner.png?1736792839,988,0.03310156297472045,6406902.573731922,40.86653738441932,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/memdex100
dogeai-2,$dogeai,DOGEai,https://coin-images.coingecko.com/coins/images/53854/original/dogeai_pfp.jpg?1737610397,891,0.05225522884203078,9443432.15793511,29.848102106692785,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/dogeai-2
alchemy-pay,ach,Alchemy Pay,https://coin-images.coingecko.com/coins/images/12390/original/ACH_%281%29.png?1696512213,348,0.04022968070945425,307650341.52695566,29.484470721443955,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/alchemy-pay
murasaki,mura,Murasaki,https://coin-images.coingecko.com/coins/images/28570/original/mura.png?1696527558,375,3.0396916733843122,125140.21956185336,29.262559122708172,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/murasaki
empyreal,emp,Empyreal,https://coin-images.coingecko.com/coins/images/31374/original/logomainblacktransparent.png?1719953450,795,164.51817761462252,1592760.600291342,25.651283344174523,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/empyreal
mango-markets,mngo,Mango,https://coin-images.coingecko.com/coins/images/14773/original/token-mango.png?1696514442,973,0.029741914169175637,316275.90272626164,25.021921524963076,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/mango-markets
vine,vine,Vine,https://coin-images.coingecko.com/coins/images/53859/original/vine.jpg?1737613523,264,0.2915613504499223,502152007.21654963,21.250530852149165,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/vine
arcblock,abt,Arcblock,https://coin-images.coingecko.com/coins/images/2341/original/arcblock.png?1696503220,419,1.4172041743563155,4723964.80652601,20.4777823085773,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/arcblock
morpheusai,mor,MorpheusAI,https://coin-images.coingecko.com/coins/images/37969/original/MOR200X200.png?1716327119,591,24.30956537282624,1329559.4557333558,18.840625552936014,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/morpheusai
messier,m87,MESSIER,https://coin-images.coingecko.com/coins/images/25957/original/MESSIERlogonew_%281%29.png?1696525036,742,6.318920888639204e-05,1206870.5294510548,18.835454899670854,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/messier
butthole-coin,butthole,Butthole Coin,https://coin-images.coingecko.com/coins/images/53183/original/1000281355.jpg?1735563013,911,0.03772581406671147,11143897.227061024,18.258606511334598,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/butthole-coin
ai-rig-complex,arc,AI Rig Complex,https://coin-images.coingecko.com/coins/images/52701/original/u312bPNA_400x400.jpg?1734044765,246,0.33741877552461036,175433181.29040077,18.194446883290546,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/ai-rig-complex
dogwifcoin,wif,dogwifhat,https://coin-images.coingecko.com/coins/images/33566/original/dogwifhat.jpg?1702499428,90,1.3180082123963666,1357166958.0852525,16.979959973829228,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/dogwifcoin
clover-finance,clv,Clover Finance,https://coin-images.coingecko.com/coins/images/15278/original/CLV_-_Circle_Logo_-_Only_Icon_1_%281%29.png?1734037808,621,0.06313927021362134,59230969.95606342,14.87555201898529,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/clover-finance
mines-of-dalarnia,dar,Mines of Dalarnia,https://coin-images.coingecko.com/coins/images/19837/original/dar.png?1696519259,411,0.1608489649139432,966512.7756388461,14.140405179393248,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/mines-of-dalarnia
skale,skl,SKALE,https://coin-images.coingecko.com/coins/images/13245/original/SKALE_token_300x300.png?1696513021,257,0.058864621768355455,149915477.5701298,13.1764738101594,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/skale
fx-coin,fx,Function X,https://coin-images.coingecko.com/coins/images/8186/original/47271330_590071468072434_707260356350705664_n.jpg?1696508396,425,0.17311125677086825,1383023.2368800342,12.953574945062272,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/fx-coin
blockv,vee,BLOCKv,https://coin-images.coingecko.com/coins/images/1266/original/blockv.png?1696502339,702,0.018878460482134866,493869.22469039535,12.254618643578628,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/blockv
reef,reef,Reef,https://coin-images.coingecko.com/coins/images/13504/original/Group_10572.png?1696513266,965,0.0008500236641947347,8050174.029647918,11.676400109495416,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/reef
shuffle-2,shfl,Shuffle,https://coin-images.coingecko.com/coins/images/35148/original/shuffle_token_200x200.png?1707552712,769,0.23025481986535482,684798.0894343271,11.287200222106613,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/shuffle-2
deso,deso,Decentralized Social,https://coin-images.coingecko.com/coins/images/16310/original/deso-logo-refresh-white.png?1696515911,318,21.274643900208908,480195.7030920595,11.11577849891399,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/deso
movement,MOVE,Movement,https://coin-images.coingecko.com/coins/images/39345/original/movement-testnet-token.png?1721878759,73,0.78975616182003,592031176.1596962,10.728383811936643,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/movement
victoria-vr,vr,Victoria VR,https://coin-images.coingecko.com/coins/images/21178/original/vr.png?1696520554,678,0.009666792213460717,23321851.70823127,10.656304441137747,gainer,2025-01-29T08:47:55.279162,https://www.coingecko.com/en/coins/victoria-vr
